title,type,release_year,age_certification,runtime,genres,production_countries,seasons,_id,imdb_score,imdb_votes
Haters Back Off,SHOW,2016,TV-14,30,"['comedy', 'drama', 'family', 'romance']",['US'],2,67814,6.1,7183
Intersection,SHOW,2016,TV-MA,97,['drama'],['TR'],2,3668,6.7,1152
Terrace House: Boys & Girls in the City,SHOW,2015,TV-14,29,"['reality', 'drama']",['JP'],1,90546,8.1,1624
The K2,SHOW,2016,TV-14,65,"['war', 'drama', 'romance', 'thriller']",['KR'],1,35796,7.9,5615
Dinotrux,SHOW,2015,TV-Y7,23,"['action', 'comedy', 'family', 'animation']",['US'],5,96212,6.8,458
"Hello, My Twenties!",SHOW,2016,TV-14,63,"['comedy', 'drama', 'romance']",['KR'],2,58892,8.3,2127
Dawn of the Croods,SHOW,2015,TV-Y7,23,"['comedy', 'family', 'animation']",['US'],4,93172,5.8,712
Kong: King of the Apes,SHOW,2016,TV-Y7,21,"['animation', 'scifi', 'action', 'comedy', 'family']",['US'],2,62936,5.9,325
Pandora,MOVIE,2016,R,136,"['drama', 'action', 'thriller']",['KR'],null,2160,6.6,7304
Ok Kanmani,MOVIE,2015,PG,139,"['drama', 'romance']",['IN'],null,71820,7.5,5722
Bella and the Bulldogs,SHOW,2015,TV-G,23,"['comedy', 'family', 'sport']",['US'],2,96178,5,2114
Unnatural Selection,SHOW,2015,TV-MA,35,"['reality', 'documentation', 'comedy']",['US'],1,63952,8.1,12
Sin senos sí hay paraíso,SHOW,2016,TV-MA,47,"['action', 'drama', 'romance', 'crime']",['CO'],4,76412,6.5,546
Cooked,SHOW,2016,TV-PG,53,['documentation'],['US'],1,47906,7.6,43
LEGO Jurassic World: The Indominus Escape,MOVIE,2016,G,24,"['family', 'animation', 'comedy']",['US'],null,,,
Mossad 101,SHOW,2015,TV-MA,42,"['action', 'drama']",['IL'],2,54042,6.8,632
Secrets of Great British Castles,SHOW,2015,TV-PG,51,"['documentation', 'history', 'european']",['GB'],2,81284,7.8,1031
Netflix Presents: The Characters,SHOW,2016,TV-MA,31,['comedy'],['US'],1,28026,5.3,835
Project Mc²,SHOW,2015,TV-G,24,['family'],['US'],6,61760,6.1,985
Kapoor & Sons,MOVIE,2016,PG-13,132,"['romance', 'comedy', 'drama', 'family']",['IN'],null,716,7.7,25792
El Chema,SHOW,2016,TV-MA,44,"['drama', 'action', 'crime']",['US'],1,30624,6.9,303
Tokyo Trial,SHOW,2016,TV-MA,49,"['drama', 'history']","['JP', 'US']",1,22918,7.4,1544
Love O2O,SHOW,2016,TV-14,45,"['drama', 'romance']",['CN'],1,92878,8,2322
Good Morning Call,SHOW,2016,TV-14,48,"['comedy', 'drama', 'romance']",['JP'],2,20732,7.7,3088
Inside the World's Toughest Prisons,SHOW,2016,TV-MA,48,"['crime', 'documentation']",['GB'],5,94220,7.1,2747
Septembers of Shiraz,MOVIE,2015,PG-13,110,"['drama', 'thriller', 'western']",['US'],null,61298,7.9,38
Beat Bugs,SHOW,2016,TV-Y,15,"['animation', 'family', 'fantasy', 'comedy']",['AU'],3,16268,7.6,522
Brothers,MOVIE,2015,PG-13,156,"['drama', 'action', 'sport']",['IN'],null,2576,6.4,12886
Another Miss Oh,SHOW,2016,TV-MA,69,"['drama', 'fantasy', 'romance', 'comedy']",['KR'],1,79572,7.9,1769
