title,type,release_year,age_certification,runtime,genres,production_countries,seasons,_id,imdb_score,imdb_votes
Taxi Driver,MOVIE,1976,R,113,"['crime', 'drama']",['US'],null,75314,8.3,795222
Monty Python and the Holy Grail,MOVIE,1975,PG,91,"['comedy', 'fantasy']",['GB'],null,71853,8.2,530877
Life of Brian,MOVIE,1979,R,94,['comedy'],['GB'],null,79470,8,392419
The Exorcist,MOVIE,1973,R,133,['horror'],['US'],null,70047,8.1,391942
Monty Python's Flying Circus,SHOW,1969,TV-14,30,"['comedy', 'european']",['GB'],4,63929,8.8,72895
Dirty Harry,MOVIE,1971,R,102,"['thriller', 'crime', 'action']",['US'],null,66999,7.7,153463
My Fair Lady,MOVIE,1964,G,170,"['drama', 'music', 'romance', 'family']",['US'],null,58385,7.8,94121
The Blue Lagoon,MOVIE,1980,R,104,"['romance', 'drama']",['US'],null,80453,5.8,69053
Bonnie and Clyde,MOVIE,1967,R,110,"['drama', 'crime', 'action']",['US'],null,61418,7.7,111189
The Professionals,MOVIE,1966,PG-13,117,"['western', 'action', 'european']",['US'],null,60862,7.3,16168
Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,"['comedy', 'animation', 'action', 'fantasy', 'family']",['JP'],null,79833,7.6,30277
Richard Pryor: Live in Concert,MOVIE,1979,R,78,"['comedy', 'documentation']",['US'],null,79807,8.1,5141
The Long Riders,MOVIE,1980,R,99,"['western', 'crime']",['US'],null,81071,6.9,11329
Hitler: A Career,MOVIE,1977,PG,150,"['documentation', 'history', 'european']",['DE'],null,91182,7.5,2416
FTA,MOVIE,1972,R,97,"['comedy', 'documentation', 'music']",['US'],null,68562,6.2,411
Top Gun,MOVIE,1986,PG,110,"['drama', 'action']",['US'],null,92099,6.9,329656
Seinfeld,SHOW,1989,TV-PG,24,['comedy'],['US'],9,98904,8.9,302700
Stand by Me,MOVIE,1986,R,89,['drama'],['US'],null,92005,8.1,392790
Once Upon a Time in America,MOVIE,1984,R,229,"['drama', 'crime', 'european']","['US', 'IT']",null,87843,8.3,342335
When Harry Met Sally...,MOVIE,1989,R,96,"['romance', 'comedy', 'drama']",['US'],null,98635,7.7,212913
Teenage Mutant Ninja Turtles,MOVIE,1990,PG,93,"['scifi', 'action', 'comedy', 'family']","['HK', 'US']",null,758,6.7,92647
Full Metal Jacket,MOVIE,1987,R,116,"['drama', 'war']","['GB', 'US']",null,93058,8.3,723306
Christine,MOVIE,1983,R,90,"['horror', 'thriller', 'european']",['US'],null,85333,6.7,80945
A Nightmare on Elm Street,MOVIE,1984,R,91,['horror'],['US'],null,87800,7.4,230543
Knight Rider,SHOW,1982,TV-PG,51,"['action', 'scifi', 'crime', 'drama']",['US'],4,83437,6.9,33760
Awakenings,MOVIE,1990,PG-13,120,"['drama', 'european']",['US'],null,99077,7.8,137549
Thomas & Friends,SHOW,1984,TV-Y,10,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']",['GB'],24,86815,6.5,4948
Annie,MOVIE,1982,PG,127,"['drama', 'family', 'comedy']",['US'],null,83564,6.6,44866
Pet Sematary,MOVIE,1989,R,103,"['horror', 'fantasy', 'thriller']",['US'],null,98084,6.5,102212
Saved by the Bell,SHOW,1989,TV-G,23,"['comedy', 'romance', 'family']",['US'],5,96694,7.1,34854
She's Gotta Have It,MOVIE,1986,R,84,"['comedy', 'romance']",['US'],null,91939,6.7,14277
Eddie Murphy Raw,MOVIE,1987,R,93,"['comedy', 'documentation']",['US'],null,92948,7.6,19646
Endless Love,MOVIE,1981,R,116,"['drama', 'romance']",['US'],null,82329,4.9,8374
Wheel of Fortune,SHOW,1983,TV-G,26,['family'],['US'],39,72584,6.7,3126
Major Dad,SHOW,1989,TV-PG,24,"['comedy', 'family']",['US'],4,96643,6.4,2866
Fireman Sam,SHOW,1987,TV-Y,10,"['comedy', 'animation', 'family', 'crime', 'european']",['GB'],13,29829,6.1,1759
Danger Mouse,SHOW,1981,TV-Y,15,"['comedy', 'family', 'scifi', 'animation', 'european']",['GB'],10,81848,7.4,3514
Sam Kinison: Breaking the Rules,MOVIE,1987,R,50,"['comedy', 'documentation']",['US'],null,7403,7.2,651
Monty Python Live at the Hollywood Bowl,MOVIE,1982,R,77,"['comedy', 'documentation']",['GB'],null,84352,7.9,15186
Bill Hicks: Sane Man,MOVIE,1989,R,81,['comedy'],['US'],null,,,
High Risk,SHOW,1988,TV-PG,50,['comedy'],['US'],1,94478,3.8,6
The Quick and the Dead,MOVIE,1995,R,107,"['western', 'thriller', 'action', 'romance']","['US', 'JP']",null,14214,6.5,92224
Survivor,SHOW,2000,TV-PG,48,['reality'],['US'],42,39195,7.4,24368
Stargate SG-1,SHOW,1997,TV-PG,44,"['scifi', 'drama', 'action']","['US', 'CA']",10,18480,8.4,90196
Pokémon,SHOW,1997,TV-Y7,22,"['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family']",['JP'],24,68366,7.6,172
Forrest Gump,MOVIE,1994,PG-13,142,"['drama', 'romance', 'comedy']",['US'],null,9830,8.8,1994599
Happy Gilmore,MOVIE,1996,PG-13,92,"['comedy', 'sport']",['US'],null,16483,7,217534
One Piece,SHOW,1999,TV-14,23,"['action', 'comedy', 'animation', 'drama', 'fantasy']",['JP'],21,88629,8.8,112586
Saving Private Ryan,MOVIE,1998,R,169,"['drama', 'war']",['US'],null,20815,8.6,1346020
Cowboy Bebop,SHOW,1998,TV-14,25,"['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama']",['JP'],1,13338,8.9,112887
Star Trek: Deep Space Nine,SHOW,1993,TV-PG,47,"['scifi', 'action', 'drama']",['US'],7,6145,8.1,61145
The Challenge,SHOW,1998,TV-14,40,"['reality', 'comedy', 'drama', 'scifi']",['US'],37,76095,7.8,3274
Gattaca,MOVIE,1997,PG-13,106,"['thriller', 'drama', 'scifi']",['US'],null,19177,7.8,298168
Gilmore Girls,SHOW,2000,TV-14,46,"['comedy', 'drama']",['US'],8,38784,8.2,119054
Blade,MOVIE,1998,R,120,"['action', 'scifi', 'horror']",['US'],null,20611,7.1,267181
You've Got Mail,MOVIE,1998,PG,119,"['romance', 'drama', 'comedy']",['US'],null,28853,6.7,209258
Starship Troopers,MOVIE,1997,R,129,"['scifi', 'thriller', 'action']",['US'],null,20201,7.3,288960
Neon Genesis Evangelion,SHOW,1995,TV-14,24,"['scifi', 'action', 'drama', 'thriller', 'fantasy', 'animation']",['JP'],1,12159,8.5,64727
The Magic School Bus,SHOW,1994,TV-Y,26,"['scifi', 'comedy', 'family', 'fantasy', 'animation']","['US', 'CA']",4,8847,7.8,9708
Donnie Brasco,MOVIE,1997,R,127,"['thriller', 'drama', 'crime']",['US'],null,19008,7.7,300073
Power Rangers,SHOW,1993,TV-Y7,22,"['scifi', 'action', 'fantasy', 'family']",['US'],29,6064,6.5,21949
U.S. Marshals,MOVIE,1998,PG-13,126,"['thriller', 'crime', 'action']",['US'],null,20873,6.5,103263
Adventures of Sonic the Hedgehog,SHOW,1993,TV-Y7,22,"['action', 'animation', 'scifi', 'western', 'fantasy', 'comedy', 'family']",['US'],4,22518,6.2,3808
Wild Things,MOVIE,1998,R,108,"['drama', 'thriller', 'crime', 'european']",['US'],null,94542,6.6,118811
Last Action Hero,MOVIE,1993,PG-13,130,"['comedy', 'action', 'fantasy']",['US'],null,7362,6.4,149290
Seven Years in Tibet,MOVIE,1997,PG-13,136,"['drama', 'history', 'war']",['US'],null,20102,7.1,141308
A River Runs Through It,MOVIE,1992,PG,123,['drama'],['US'],null,5265,7.2,59086
"Girl, Interrupted",MOVIE,1999,R,127,"['drama', 'european']","['US', 'DE']",null,72493,7.3,180532
Goosebumps,SHOW,1995,TV-PG,22,"['scifi', 'fantasy', 'horror', 'thriller', 'family', 'music']","['CA', 'US']",4,11987,7.6,13361
Yu-Gi-Oh!,SHOW,1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7,34194,7.2,20888
InuYasha,SHOW,2000,TV-14,25,"['action', 'comedy', 'scifi', 'animation', 'drama', 'fantasy', 'romance']",['JP'],9,90223,7.9,15823
Any Given Sunday,MOVIE,1999,R,162,"['drama', 'sport']",['US'],null,46838,6.9,118479
Menace II Society,MOVIE,1993,R,97,"['drama', 'crime', 'thriller']",['US'],null,7554,7.5,57399
Desperado,MOVIE,1995,R,104,"['thriller', 'action', 'crime', 'western', 'european']",['US'],null,12851,7.1,183638
The Mask of Zorro,MOVIE,1998,PG-13,136,"['action', 'thriller', 'western', 'comedy', 'romance']",['US'],null,20746,6.8,181306
The Patriot,MOVIE,2000,R,165,"['drama', 'action', 'history', 'war']","['DE', 'US']",null,87393,7.2,270231
Road Trip,MOVIE,2000,R,93,['comedy'],['US'],null,15129,6.5,167670
Free Willy,MOVIE,1993,PG,112,"['drama', 'family']","['US', 'FR']",null,6965,6,75244
My First Errand,SHOW,1991,TV-G,19,['reality'],['JP'],12,,,
3 Ninjas Kick Back,MOVIE,1994,PG,93,"['action', 'comedy', 'family', 'sport']","['US', 'JP']",null,327306,4.5,9208
In the Line of Fire,MOVIE,1993,R,128,"['drama', 'thriller', 'action', 'crime']",['US'],null,7206,7.2,101939
The Replacements,MOVIE,2000,PG-13,118,"['comedy', 'sport']",['US'],null,91397,6.6,64087
Johnny Mnemonic,MOVIE,1995,R,97,"['scifi', 'thriller', 'action', 'drama']","['US', 'CA']",null,13481,5.6,71062
Little Women,MOVIE,1994,PG,115,"['drama', 'family', 'romance']",['US'],null,10367,7.3,57621
Anaconda,MOVIE,1997,PG-13,89,"['thriller', 'horror', 'action']","['PE', 'US', 'BR']",null,18615,4.8,103459
My Girl,MOVIE,1991,PG,103,"['comedy', 'drama', 'family', 'romance', 'european']",['US'],null,2492,6.9,79800
Cliffhanger,MOVIE,1993,R,112,"['thriller', 'action', 'animation']","['IT', 'US', 'FR']",null,6582,6.5,128179
I Know What You Did Last Summer,MOVIE,1997,R,101,"['horror', 'thriller']",['US'],null,19345,5.7,142696
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,MOVIE,1991,PG,88,"['scifi', 'action', 'comedy', 'family']","['US', 'HK']",null,3060,6,55499
Barney & Friends,SHOW,1992,TV-G,28,['family'],['US'],14,44701,3.8,9955
Hollow Man,MOVIE,2000,R,112,"['scifi', 'action', 'horror', 'thriller']","['DE', 'US']",null,64052,5.8,130099
Godzilla,MOVIE,1998,PG-13,133,"['thriller', 'scifi', 'action']",['US'],null,20685,5.4,191722
Spawn,MOVIE,1997,PG-13,96,"['fantasy', 'horror', 'scifi', 'thriller', 'action', 'drama']",['US'],null,20177,5.2,67761
Dennis the Menace,MOVIE,1993,PG,95,"['comedy', 'family']",['US'],null,6701,5.6,60779
The Net,MOVIE,1995,PG-13,114,"['thriller', 'action', 'crime', 'drama']",['US'],null,13957,5.9,66127
The Devil's Own,MOVIE,1997,R,107,"['thriller', 'drama', 'action', 'crime', 'european']",['US'],null,62637,6.2,64625
Croupier,MOVIE,1998,R,94,"['thriller', 'european', 'crime', 'drama']","['FR', 'IE', 'GB', 'DE']",null,59382,7,21382
Teenage Mutant Ninja Turtles III,MOVIE,1993,PG,96,"['fantasy', 'scifi', 'action', 'comedy', 'family']","['HK', 'US']",null,8308,4.7,33128
The General's Daughter,MOVIE,1999,R,116,"['drama', 'crime', 'thriller']","['US', 'DE']",null,44214,6.4,58726
The Next Karate Kid,MOVIE,1994,PG,107,"['drama', 'family', 'romance', 'sport', 'action']",['US'],null,10657,4.5,30138
I Still Know What You Did Last Summer,MOVIE,1998,R,100,"['thriller', 'horror']",['US'],null,30018,4.7,73269
Double Team,MOVIE,1997,R,93,"['scifi', 'action', 'comedy', 'thriller']","['US', 'HK']",null,19013,4.7,34127
Under Suspicion,MOVIE,2000,R,110,"['thriller', 'crime', 'drama', 'european']",['US'],null,64212,6.5,25432
Moesha,SHOW,1996,TV-PG,21,"['drama', 'comedy', 'family']",['US'],6,15275,5.7,3713
"Sister, Sister",SHOW,1994,TV-PG,22,"['comedy', 'drama', 'family']",['US'],6,8927,6.2,12535
Cardcaptor Sakura,SHOW,1998,TV-Y7,25,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'action']",['JP'],4,21735,8,4936
Geronimo: An American Legend,MOVIE,1993,PG-13,115,"['western', 'drama', 'history']",['US'],null,7004,6.5,11506
The Mirror Has Two Faces,MOVIE,1996,PG-13,126,"['romance', 'comedy', 'drama']",['US'],null,17057,6.6,19829
Girlfriends,SHOW,2000,TV-PG,21,"['comedy', 'drama']",['US'],8,47102,7.2,4482
Bill Hicks: One Night Stand,MOVIE,1991,NC-17,30,['comedy'],['US'],null,,,
Knight Rider 2000,MOVIE,1991,G,91,"['action', 'scifi']",['US'],null,2227,4.5,3178
The Last Days,MOVIE,1998,PG-13,87,"['drama', 'documentation', 'war']",['US'],null,74852,7.9,4247
The Parkers,SHOW,1999,TV-PG,19,['comedy'],['US'],5,353,6.8,2346
Heavy,MOVIE,1995,R,105,"['romance', 'drama']",['US'],null,13280,6.8,4921
Dale's Supermarket Sweep,SHOW,1993,TV-G,21,[],['GB'],8,62853,7.1,39
Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,1998,G,75,"['comedy', 'documentation']",['US'],null,140,7.9,5834
Wild Tango,MOVIE,1993,R,124,"['drama', 'music', 'romance']","['AR', 'ES']",null,8291,6.7,1564
Kuch Kuch Hota Hai,MOVIE,1998,G,185,"['drama', 'romance', 'comedy']",['IN'],null,72684,7.6,51640
Oggy and the Cockroaches,SHOW,1999,TV-Y7,9,"['comedy', 'family', 'action', 'animation', 'european']",['FR'],7,13363,7.4,4185
H,SHOW,1998,TV-MA,25,['comedy'],['FR'],4,73554,7.4,1703
Herod's Law,MOVIE,1999,R,120,"['drama', 'comedy', 'crime']",['MX'],null,21344,7.8,5943
Tim Allen: Rewires America,MOVIE,1991,PG,30,"['comedy', 'documentation']",['US'],null,94967,5.9,195
Heartbreak High,SHOW,1994,TV-MA,47,"['drama', 'romance', 'comedy']",['AU'],7,8800,7.8,3106
Dil Se..,MOVIE,1998,PG-13,163,"['drama', 'romance']",['IN'],null,64538,7.5,28409
Escalona,SHOW,1991,TV-MA,44,['drama'],['CO'],1,,,
Oh Darling! Yeh Hai India!,MOVIE,1995,G,153,['comedy'],['IN'],null,14031,4,1678
West Beirut,MOVIE,1998,PG-13,105,"['romance', 'war', 'comedy', 'drama', 'european']","['BE', 'FR', 'NO', 'LB']",null,57183,7.6,4175
Muthu,MOVIE,1995,G,165,"['drama', 'comedy', 'romance', 'action']",['IN'],null,40399,7.6,3056
Chamatkar,MOVIE,1992,G,171,"['comedy', 'fantasy', 'drama', 'crime']",['IN'],null,26234,6.5,6199
Okupas,SHOW,2000,TV-MA,40,"['crime', 'drama']",['AR'],1,89649,9,2326
Hum Saath Saath Hain,MOVIE,1999,G,177,"['fantasy', 'romance', 'family', 'drama']",['IN'],null,16817,6.2,8454
Kabhi Haan Kabhi Naa,MOVIE,1994,G,158,"['comedy', 'drama', 'music', 'romance']",['IN'],null,10222,7.6,18224
Phir Bhi Dil Hai Hindustani,MOVIE,2000,PG-13,160,"['comedy', 'romance', 'drama']",['IN'],null,22270,6.1,7556
Chaahat,MOVIE,1996,G,155,"['drama', 'romance']",['IN'],null,72234,5.5,2837
Maya Memsaab,MOVIE,1993,PG-13,126,"['romance', 'drama', 'thriller']",['IN'],null,37100,5.4,2177
Duplicate,MOVIE,1998,PG,165,"['comedy', 'action', 'crime', 'thriller']",['IN'],null,64550,5.5,7557
English Babu Desi Mem,MOVIE,1996,PG,172,"['romance', 'comedy', 'drama']",['IN'],null,36153,4.5,2322
Sinbad: Afros and Bellbottoms,MOVIE,1993,PG-13,59,"['comedy', 'documentation']",['US'],null,38331,7.8,166
Avvai Shanmugi,MOVIE,1996,PG-13,160,"['drama', 'comedy']",['IN'],null,39872,7.9,2528
Minsara Kanavu,MOVIE,1997,G,145,"['comedy', 'drama', 'romance']",['IN'],null,82003,6.7,1212
Breaking Bad,SHOW,2008,TV-MA,48,"['drama', 'thriller', 'crime']",['US'],5,3747,9.5,1727694
The Walking Dead,SHOW,2010,TV-MA,46,"['action', 'drama', 'scifi', 'thriller', 'horror']",['US'],11,20211,8.2,945125
The Staircase,SHOW,2004,TV-MA,49,"['crime', 'documentation', 'drama']",['FR'],2,88644,7.8,21531
Downton Abbey,SHOW,2010,TV-14,58,"['drama', 'romance', 'european']",['GB'],6,6375,8.7,197744
Grey's Anatomy,SHOW,2005,TV-14,49,"['drama', 'romance']",['US'],18,13573,7.6,293618
The Great British Baking Show,SHOW,2010,TV-PG,57,"['reality', 'european']",['GB'],12,77368,8.6,9564
Criminal Minds,SHOW,2005,TV-14,44,"['thriller', 'crime', 'drama']",['US'],15,52046,8.1,189191
NCIS,SHOW,2003,TV-14,44,"['action', 'drama', 'crime', 'thriller', 'comedy']",['US'],19,64845,7.8,141049
Community,SHOW,2009,TV-PG,23,['comedy'],['US'],6,39629,8.5,252564
Heartland,SHOW,2007,TV-PG,44,"['drama', 'family']",['CA'],15,94229,8.4,15743
Supernatural,SHOW,2005,TV-14,45,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",['US'],15,60681,8.5,428639
Forgetting Sarah Marshall,MOVIE,2008,R,111,"['comedy', 'drama', 'romance']",['US'],null,39,7.1,280121
War of the Worlds,MOVIE,2005,PG-13,117,"['thriller', 'action', 'scifi']",['US'],null,7304,6.5,439027
Arrested Development,SHOW,2003,TV-MA,28,['comedy'],['US'],5,67279,8.7,297552
The IT Crowd,SHOW,2006,TV-14,25,"['comedy', 'european']",['GB'],5,87831,8.5,147409
30 Rock,SHOW,2006,TV-14,25,"['comedy', 'sport']",['US'],7,96424,8.3,121514
Avatar: The Last Airbender,SHOW,2005,TV-Y7,24,"['scifi', 'family', 'fantasy', 'animation', 'action']",['US'],3,17299,9.3,297336
Inception,MOVIE,2010,PG-13,148,"['scifi', 'music', 'thriller', 'action']","['GB', 'US']",null,75666,8.8,2268288
How to Train Your Dragon,MOVIE,2010,PG,98,"['fantasy', 'animation', 'action', 'comedy', 'family', 'drama']",['US'],null,92769,8.1,719717
Friday Night Lights,SHOW,2006,TV-14,43,"['drama', 'sport']",['US'],5,58745,8.7,64449
Michael Clayton,MOVIE,2007,R,120,"['thriller', 'crime', 'drama']",['US'],null,65538,7.2,163878
My Little Pony: Friendship Is Magic,SHOW,2010,TV-Y7,22,"['scifi', 'animation', 'drama', 'fantasy', 'music', 'comedy', 'family']","['CA', 'US']",9,51105,7.6,20708
The Fairly OddParents,SHOW,2001,TV-Y7,24,"['scifi', 'family', 'fantasy', 'animation', 'comedy']","['US', 'CA']",10,35918,7.2,38046
Jackass: The Movie,MOVIE,2002,R,88,"['action', 'comedy', 'documentation']",['US'],null,22802,6.6,92305
Sonic X,SHOW,2003,TV-Y7,21,"['action', 'drama', 'thriller', 'animation', 'comedy', 'fantasy', 'family', 'scifi']",['JP'],3,67413,6.1,4577
DEATH NOTE,SHOW,2006,TV-14,24,"['scifi', 'animation', 'crime', 'drama', 'fantasy', 'thriller']",['JP'],1,77057,9,302147
Zoolander,MOVIE,2001,PG-13,90,"['comedy', 'european']","['US', 'DE']",null,96229,6.5,260975
The Vampire Diaries,SHOW,2009,TV-14,42,"['scifi', 'drama', 'thriller', 'fantasy', 'horror', 'romance']",['US'],8,5406,7.7,310776
Charlie and the Chocolate Factory,MOVIE,2005,PG,106,"['fantasy', 'comedy', 'family']","['GB', 'US', 'AU']",null,67594,6.6,465995
Cleaner,MOVIE,2007,R,88,"['thriller', 'crime']",['US'],null,96798,6.1,41052
Harold & Kumar Go to White Castle,MOVIE,2004,R,88,['comedy'],['US'],null,66551,7,193053
The Social Network,MOVIE,2010,PG-13,121,['drama'],['US'],null,85016,7.8,681286
Road to Perdition,MOVIE,2002,R,117,"['thriller', 'documentation', 'crime', 'drama']",['US'],null,57044,7.7,263212
Naruto,SHOW,2002,TV-PG,23,"['scifi', 'comedy', 'animation', 'action', 'fantasy', 'thriller']",['JP'],6,9591,8.4,93980
Blow,MOVIE,2001,R,124,"['drama', 'crime']",['US'],null,21027,7.5,255099
Shooter,MOVIE,2007,R,124,"['thriller', 'action', 'drama']",['US'],null,22854,7.2,329417
Big Fish,MOVIE,2003,PG-13,125,"['drama', 'fantasy', 'romance']",['US'],null,19061,8,435503
The Bourne Ultimatum,MOVIE,2007,PG-13,115,"['thriller', 'action']","['DE', 'ES', 'US', 'FR']",null,40963,8,627009
Public Enemies,MOVIE,2009,R,143,"['crime', 'drama', 'history', 'action', 'european']",['US'],null,52836,7,297525
America's Next Top Model,SHOW,2003,TV-14,44,['reality'],['US'],24,91576,5.6,17843
Sherlock Holmes,MOVIE,2009,PG-13,129,"['crime', 'action', 'thriller']","['GB', 'US', 'AU', 'DE']",null,88045,7.6,620154
Love Actually,MOVIE,2003,R,139,"['drama', 'comedy', 'romance']","['GB', 'US']",null,14331,7.6,474176
Closer,MOVIE,2004,R,94,"['drama', 'romance']","['GB', 'US']",null,76541,7.2,215678
Chappelle's Show,SHOW,2003,TV-14,21,"['comedy', 'music']",['US'],3,53049,8.8,62140
Something's Gotta Give,MOVIE,2003,PG-13,128,"['romance', 'drama', 'comedy']",['US'],null,37741,6.7,120400
Grown Ups,MOVIE,2010,PG-13,102,"['comedy', 'drama', 'european']",['US'],null,75670,5.9,247229
The Blind Side,MOVIE,2009,PG-13,129,"['drama', 'sport']",['US'],null,78804,7.6,323939
Quantum of Solace,MOVIE,2008,PG-13,106,"['thriller', 'action']","['GB', 'US']",null,30515,6.6,441023
The Ring,MOVIE,2002,PG-13,111,"['horror', 'european']","['JP', 'US']",null,98130,7.1,341888
Trailer Park Boys,SHOW,2001,TV-MA,25,"['comedy', 'crime']",['CA'],12,90988,8.6,41791
Into the Wild,MOVIE,2007,R,140,['drama'],['US'],null,58758,8.1,611379
True Grit,MOVIE,2010,PG-13,110,"['western', 'drama']",['US'],null,3865,7.6,333378
Blade Runner: The Final Cut,MOVIE,2007,R,117,"['action', 'thriller', 'scifi']",['US'],null,,,
Rambo,MOVIE,2008,R,92,"['thriller', 'action', 'war', 'european']","['US', 'DE']",null,62499,7,228799
Stardust,MOVIE,2007,PG-13,122,"['fantasy', 'romance', 'family']","['US', 'IS', 'GB']",null,86655,7.6,269043
Borgen,SHOW,2010,TV-MA,58,"['drama', 'european']",['DK'],4,26318,8.5,23523
The Last Samurai,MOVIE,2003,R,154,"['drama', 'history', 'war', 'action']","['NZ', 'JP', 'US']",null,25710,7.8,429097
iCarly,SHOW,2007,TV-G,26,"['comedy', 'family', 'romance']",['US'],6,72534,6.7,38281
Victorious,SHOW,2010,TV-G,25,"['comedy', 'drama', 'family', 'music', 'romance', 'sport']",['US'],4,4099,6.9,24224
The Book of Eli,MOVIE,2010,R,118,"['thriller', 'action', 'drama', 'european']",['US'],null,37705,6.8,312538
Identity,MOVIE,2003,R,90,['thriller'],['US'],null,40770,7.3,240433
Merlin,SHOW,2008,TV-PG,44,"['action', 'scifi', 'drama', 'fantasy', 'european']",['GB'],5,99099,7.9,80138
Apocalypse Now Redux,MOVIE,2001,R,196,"['drama', 'war', 'thriller', 'horror']",['US'],null,,,
Shrek Forever After,MOVIE,2010,PG,93,"['fantasy', 'comedy', 'family', 'romance', 'animation']",['US'],null,92791,6.3,200354
Hairspray,MOVIE,2007,PG,117,"['comedy', 'drama', 'romance']","['US', 'GB']",null,27327,6.7,128190
Corpse Bride,MOVIE,2005,PG,77,"['fantasy', 'romance', 'animation', 'drama', 'family']",['US'],null,21164,7.3,265023
Let Me In,MOVIE,2010,R,116,"['horror', 'drama', 'fantasy', 'thriller', 'european']","['GB', 'US']",null,28987,7.1,120208
Monster,MOVIE,2003,R,110,"['crime', 'drama', 'thriller', 'european']",['US'],null,40855,7.3,149218
Without a Paddle,MOVIE,2004,PG-13,95,"['thriller', 'comedy']",['US'],null,64751,5.8,47049
Once Upon a Time in Mexico,MOVIE,2003,R,102,"['drama', 'action', 'crime', 'thriller']",['US'],null,85823,6.3,160449
Cloudy with a Chance of Meatballs,MOVIE,2009,PG,90,"['animation', 'drama', 'romance', 'comedy', 'family', 'fantasy', 'scifi']",['US'],null,44471,6.9,226225
Blade II,MOVIE,2002,R,117,"['thriller', 'fantasy', 'scifi', 'action', 'horror']",['US'],null,87738,6.7,214461
Chloe,MOVIE,2009,R,99,"['thriller', 'drama', 'romance', 'european']","['US', 'CA', 'FR']",null,52824,6.3,72916
Blood Diamond,MOVIE,2006,R,143,"['thriller', 'drama']","['US', 'DE']",null,50259,8,536858
The Lake House,MOVIE,2006,PG,105,"['drama', 'fantasy', 'romance', 'documentation']",['US'],null,10297,6.8,148043
Terminator 3: Rise of the Machines,MOVIE,2003,R,109,"['thriller', 'scifi', 'action', 'european']","['GB', 'US', 'DE']",null,81852,6.3,393998
Beerfest,MOVIE,2006,R,110,['comedy'],['US'],null,86551,6.2,67748
Heist,MOVIE,2001,R,107,"['thriller', 'drama', 'action', 'crime', 'european']",['US'],null,52503,6.5,36361
Catch and Release,MOVIE,2006,PG-13,111,"['romance', 'comedy', 'drama']",['US'],null,95495,5.9,26157
Just Like Heaven,MOVIE,2005,PG-13,95,"['drama', 'romance', 'fantasy', 'comedy']",['US'],null,25123,6.7,106755
Gurren Lagann,SHOW,2007,TV-14,24,"['scifi', 'action', 'comedy', 'drama', 'animation']",['JP'],1,48103,8.3,17024
Four Brothers,MOVIE,2005,R,109,"['crime', 'action', 'drama', 'thriller']",['US'],null,30105,6.8,144656
John Q,MOVIE,2002,PG-13,116,"['drama', 'thriller', 'crime']",['US'],null,51160,7,131999
Not Another Teen Movie,MOVIE,2001,R,89,['comedy'],['US'],null,77371,5.7,104604
21,MOVIE,2008,PG-13,123,"['drama', 'crime', 'history', 'thriller']",['US'],null,78087,6.8,247039
Code Geass: Lelouch of the Rebellion,SHOW,2006,TV-14,24,"['scifi', 'animation', 'action', 'drama', 'thriller', 'war']",['JP'],3,94314,8.7,62367
Terminator Salvation,MOVIE,2009,PG-13,110,"['thriller', 'scifi', 'fantasy', 'war', 'action']","['US', 'DE', 'IT', 'GB']",null,38488,6.5,357557
Deck the Halls,MOVIE,2006,PG,93,"['comedy', 'family']",['US'],null,90604,5,27797
The Girl Next Door,MOVIE,2007,R,91,"['thriller', 'drama', 'crime', 'horror']",['US'],null,30558,6.5,26035
The Cat in the Hat,MOVIE,2003,PG,81,"['fantasy', 'comedy', 'family']",['US'],null,12528,4,81971
Final Destination 3,MOVIE,2006,R,93,"['horror', 'thriller', 'action', 'crime', 'fantasy', 'european']","['CA', 'DE', 'US']",null,14982,5.8,139797
Thir13en Ghosts,MOVIE,2001,R,91,"['thriller', 'horror', 'fantasy']","['CA', 'US']",null,45674,5.6,86492
The One,MOVIE,2001,PG-13,87,"['scifi', 'thriller', 'action']",['US'],null,67804,5.9,91584
Happy Feet,MOVIE,2006,PG,108,"['comedy', 'fantasy', 'animation', 'family', 'music', 'romance']",['AU'],null,66548,6.4,182612
Ip Man,MOVIE,2008,R,108,"['drama', 'fantasy', 'action', 'history']","['HK', 'CN']",null,20719,8,221095
Coach Carter,MOVIE,2005,PG-13,130,"['drama', 'sport', 'european']","['US', 'DE']",null,93162,7.3,143670
Blade: Trinity,MOVIE,2004,R,106,"['action', 'thriller', 'fantasy', 'horror', 'scifi']",['US'],null,59013,5.8,175210
Monster-in-Law,MOVIE,2005,PG-13,101,"['romance', 'comedy']","['US', 'DE']",null,69735,5.5,60693
Halloween,MOVIE,2007,R,109,['horror'],['US'],null,73883,6,118815
How Do You Know,MOVIE,2010,PG-13,121,"['drama', 'comedy', 'romance']",['US'],null,41188,5.4,49599
